week,year,Stab,Elite,Loyal,Info,Morale,Protest,Fiscal,CPI,Infl,EStress,Repr,Troops,Displaced,War,Sanctions,OilPrice,OilRevIndex
0,0,0.655576328028365,0.634828611544388,0.698498106070267,0.725194466856383,0.511912697990469,0.185438530348476,0.343815561879428,100.830769230769,0.432,0.835346040190612,0.4656225,0.2272,0.0560381700613038,0.8,0.85,1.4,0.30184
1,0.0192307692307692,0.702329202322621,0.622861401254997,0.638220407739635,0.746490759085067,0.470567192309714,0.171717900706723,0.235339398538567,101.693147910323,0.444742132574469,0.860491639231763,0.454190923427877,0.2526592,0.111798845106425,0.8,0.85,1.4,0.30184
2,0.0384615384615385,0.741257682235205,0.613494060588798,0.569220740887598,0.763854818276028,0.426192106287327,0.159075741822496,0.124398434292257,102.588359090567,0.457759272175372,0.88277503276986,0.437305603690127,0.2764890112,0.167240919840811,0.8,0.85,1.4,0.30184
3,0.0576923076923077,0.773462079662143,0.606218470058836,0.491522345471395,0.777258126714037,0.379006085190903,0.147729862208911,0.010832228597915,103.51771529765,0.471072187884929,0.902305410886278,0.414930784360426,0.2987937144832,0.222333895740571,0.8,0.85,1.4,0.30184
4,0.0769230769230769,0.803094298336094,0.600613832866108,0.412504592085857,0.789842453420886,0.329215151087323,0.137866610967923,0,104.482620111648,0.48470013256825,0.919240241356911,0.387081910231009,0.319670916756275,0.277056516692616,0.8,0.85,1.4,0.30184
5,0.0961538461538462,0.830807519174666,0.596503719218657,0.333597397931339,0.801995218757265,0.277853924327068,0.129322908255366,0,105.459130753461,0.486,0.920707583983532,0.358367918531132,0.339211978083874,0.331266330531064,0.8,0.85,1.4,0.30184
6,0.115384615384615,0.856614374839841,0.593653822820501,0.254899595174614,0.813771577358158,0.225084303650919,0.122100620860058,0,106.444768013965,0.486,0.920707583983532,0.329388276042666,0.357502411486506,0.384976413848755,0.8,0.85,1.4,0.30184
7,0.134615384615385,0.880501431146634,0.591849622268893,0.176443273214512,0.825226783067511,0.170971219740244,0.116221576528214,0,107.439617191941,0.486,0.920707583983532,0.300010001084778,0.374622257151369,0.438213426148853,0.8,0.85,1.4,0.30184
8,0.153846153846154,0.902458602939552,0.590903071487058,0.0982534286623343,0.836417010877948,0.115575844395457,0.111709939953078,0,108.443764383389,0.486,0.920707583983532,0.270101177553339,0.390646432693682,0.491001354337659,0.8,0.85,1.4,0.30184
9,0.173076923076923,0.922478749728557,0.590649237353595,0.0203486524876035,0.847399446642437,0.0589555859720583,0.108591795876099,0,109.457296488972,0.486,0.920707583983532,0.239556003796908,0.405645061001286,0.543361497898474,0.8,0.85,1.4,0.30184
10,0.192307692307692,0.940557282656767,0.590943381290798,0,0.858232360839666,0.00116408416746716,0.106894840055881,0,110.480301221542,0.486,0.920707583983532,0.208291363585904,0.419683777097204,0.595312361553217,0.8,0.85,1.4,0.30184
