Tcrit_mean,Tcrit_std,Tcrit_min,Tcrit_max,elite_fracture_prob_mean,elite_fracture_prob_std,elite_fracture_prob_min,elite_fracture_prob_max,time_to_elite_fracture_mean,time_to_elite_fracture_std,time_to_elite_fracture_min,time_to_elite_fracture_max,weeks_below_elite_crit_mean,weeks_below_elite_crit_std,weeks_below_elite_crit_min,weeks_below_elite_crit_max,avg_loyal_mean,avg_loyal_std,avg_loyal_min,avg_loyal_max,peak_protest_mean,peak_protest_std,peak_protest_min,peak_protest_max,end_displaced_m_mean,end_displaced_m_std,end_displaced_m_min,end_displaced_m_max,mean_elite_mean,mean_elite_std,mean_elite_min,mean_elite_max,min_elite_mean,min_elite_std,min_elite_min,min_elite_max,mean_stab_mean,mean_stab_std,mean_stab_min,mean_stab_max,min_stab_mean,min_stab_std,min_stab_min,min_stab_max
43.0,0.0,43.0,43.0,1.0,0.0,1.0,1.0,55.0,0.0,55.0,55.0,82.0,0.0,82.0,82.0,0.2707432787199533,0.0,0.2707432787199533,0.2707432787199533,1.0,0.0,1.0,1.0,2.5334892344944717,0.0,2.5334892344944717,2.5334892344944717,0.39219645695582583,0.0,0.39219645695582583,0.39219645695582583,0.31593833325020393,0.0,0.31593833325020393,0.31593833325020393,0.2946992461368186,0.0,0.2946992461368186,0.2946992461368186,0.0,0.0,0.0,0.0
43.0,0.0,43.0,43.0,1.0,0.0,1.0,1.0,56.0,0.0,56.0,56.0,61.0,0.0,61.0,61.0,0.40202507520305897,0.0,0.40202507520305897,0.40202507520305897,1.0,0.0,1.0,1.0,2.727115738541787,0.0,2.727115738541787,2.727115738541787,0.4197586955205422,0.0,0.4197586955205422,0.4197586955205422,0.3189356820834991,0.0,0.3189356820834991,0.3189356820834991,0.4295490248614451,0.0,0.4295490248614451,0.4295490248614451,0.0,0.0,0.0,0.0
44.0,0.0,44.0,44.0,1.0,0.0,1.0,1.0,57.0,0.0,57.0,57.0,48.0,0.0,48.0,48.0,0.47772423532100017,0.0,0.47772423532100017,0.47772423532100017,1.0,0.0,1.0,1.0,2.877330396753369,0.0,2.877330396753369,2.877330396753369,0.4364668300132596,6.206335383118183e-17,0.43646683001325964,0.43646683001325964,0.3190036136949081,0.0,0.3190036136949081,0.3190036136949081,0.5046342525916697,0.0,0.5046342525916697,0.5046342525916697,0.0,0.0,0.0,0.0
41.0,0.0,41.0,41.0,1.0,0.0,1.0,1.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,0.47649821671871007,0.0,0.47649821671871007,0.47649821671871007,1.0,0.0,1.0,1.0,2.877636882851543,0.0,2.877636882851543,2.877636882851543,0.4309003828025496,0.0,0.4309003828025496,0.4309003828025496,0.3183534942788879,0.0,0.3183534942788879,0.3183534942788879,0.4793549961586976,0.0,0.4793549961586976,0.4793549961586976,0.0,0.0,0.0,0.0
41.0,0.0,41.0,41.0,1.0,0.0,1.0,1.0,59.0,0.0,59.0,59.0,41.0,0.0,41.0,41.0,0.47850637991852407,0.0,0.47850637991852407,0.47850637991852407,1.0,0.0,1.0,1.0,2.9251790521927927,0.0,2.9251790521927927,2.9251790521927927,0.451859032528391,6.206335383118183e-17,0.45185903252839094,0.45185903252839094,0.3342230454685132,0.0,0.3342230454685132,0.3342230454685132,0.4919217416715493,0.0,0.4919217416715493,0.4919217416715493,0.0,0.0,0.0,0.0
38.0,0.0,38.0,38.0,1.0,0.0,1.0,1.0,55.0,0.0,55.0,55.0,81.0,0.0,81.0,81.0,0.23818383032182938,3.1031676915590914e-17,0.23818383032182935,0.23818383032182935,1.0,0.0,1.0,1.0,2.4576799745323212,0.0,2.4576799745323212,2.4576799745323212,0.39725326238039754,0.0,0.39725326238039754,0.39725326238039754,0.33343991137271034,0.0,0.33343991137271034,0.33343991137271034,0.22970641564046437,0.0,0.22970641564046437,0.22970641564046437,0.0,0.0,0.0,0.0
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.28206699281917946,0.0,0.28206699281917946,0.28206699281917946,1.0,0.0,1.0,1.0,2.7142765234796773,0.0,2.7142765234796773,2.7142765234796773,0.529852031245656,0.0,0.529852031245656,0.529852031245656,0.47682915980743246,0.0,0.47682915980743246,0.47682915980743246,0.8282187843247437,1.2412670766236366e-16,0.8282187843247436,0.8282187843247436,0.5876272773128667,0.0,0.5876272773128667,0.5876272773128667
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.30239895072966266,0.0,0.30239895072966266,0.30239895072966266,1.0,0.0,1.0,1.0,2.7307514539207713,0.0,2.7307514539207713,2.7307514539207713,0.5363146441231518,0.0,0.5363146441231518,0.5363146441231518,0.48662833009631257,0.0,0.48662833009631257,0.48662833009631257,0.8505382776644652,1.2412670766236366e-16,0.8505382776644651,0.8505382776644651,0.627450880909673,0.0,0.627450880909673,0.627450880909673
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.3043399579079627,0.0,0.3043399579079627,0.3043399579079627,1.0,0.0,1.0,1.0,2.745649222032133,0.0,2.745649222032133,2.745649222032133,0.5497688506112709,0.0,0.5497688506112709,0.5497688506112709,0.4965471290930757,0.0,0.4965471290930757,0.4965471290930757,0.8514970024318561,0.0,0.8514970024318561,0.8514970024318561,0.6279451146764952,0.0,0.6279451146764952,0.6279451146764952
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.2999726290572377,0.0,0.2999726290572377,0.2999726290572377,1.0,0.0,1.0,1.0,2.735487422684278,0.0,2.735487422684278,2.735487422684278,0.5406581649039691,0.0,0.5406581649039691,0.5406581649039691,0.48387804870587986,0.0,0.48387804870587986,0.48387804870587986,0.8139075955032287,1.2412670766236366e-16,0.8139075955032286,0.8139075955032286,0.5750403891421796,0.0,0.5750403891421796,0.5750403891421796
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.29885043325731786,0.0,0.29885043325731786,0.29885043325731786,1.0,0.0,1.0,1.0,2.7280383431095565,0.0,2.7280383431095565,2.7280383431095565,0.5374238447567664,0.0,0.5374238447567664,0.5374238447567664,0.48190382515061947,6.206335383118183e-17,0.4819038251506194,0.4819038251506194,0.8003770763223292,1.2412670766236366e-16,0.8003770763223291,0.8003770763223291,0.5666724861975414,0.0,0.5666724861975414,0.5666724861975414
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.5588247234780334,0.0,0.5588247234780334,0.5588247234780334,0.28693501885349004,0.0,0.28693501885349004,0.28693501885349004,0.331373967121416,0.0,0.331373967121416,0.331373967121416,0.6297064076047926,0.0,0.6297064076047926,0.6297064076047926,0.6107340939801225,0.0,0.6107340939801225,0.6107340939801225,0.9894970065916473,0.0,0.9894970065916473,0.9894970065916473,0.6544583593231899,0.0,0.6544583593231899,0.6544583593231899
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.5237860163116929,0.0,0.5237860163116929,0.5237860163116929,0.31157688873898204,0.0,0.31157688873898204,0.31157688873898204,0.3540606373136929,0.0,0.3540606373136929,0.3540606373136929,0.6260502731585359,0.0,0.6260502731585359,0.6260502731585359,0.60968986700887,0.0,0.60968986700887,0.60968986700887,0.9892290892901168,1.2412670766236366e-16,0.9892290892901167,0.9892290892901167,0.6537216838715617,0.0,0.6537216838715617,0.6537216838715617
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.5242355803705779,0.0,0.5242355803705779,0.5242355803705779,0.3115696150722999,0.0,0.3115696150722999,0.3115696150722999,0.35355762750837877,0.0,0.35355762750837877,0.35355762750837877,0.6261750789401591,0.0,0.6261750789401591,0.6261750789401591,0.6098106191912028,0.0,0.6098106191912028,0.6098106191912028,0.9892564135590083,1.2412670766236366e-16,0.9892564135590084,0.9892564135590084,0.6538027949977374,0.0,0.6538027949977374,0.6538027949977374
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.5225635524106885,0.0,0.5225635524106885,0.5225635524106885,0.3116326627912534,0.0,0.3116326627912534,0.3116326627912534,0.3536977175493566,0.0,0.3536977175493566,0.3536977175493566,0.6180598938170384,0.0,0.6180598938170384,0.6180598938170384,0.5978859332658758,0.0,0.5978859332658758,0.5978859332658758,0.9892662115730049,1.2412670766236366e-16,0.989266211573005,0.989266211573005,0.6538599528615083,0.0,0.6538599528615083,0.6538599528615083
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.8346108641801961,1.2412670766236366e-16,0.8346108641801963,0.8346108641801963,0.14678633911190328,0.0,0.14678633911190328,0.14678633911190328,0.3355288246515553,0.0,0.3355288246515553,0.3355288246515553,0.6312061756371419,0.0,0.6312061756371419,0.6312061756371419,0.6177903114767589,0.0,0.6177903114767589,0.6177903114767589,0.9910985567384147,0.0,0.9910985567384147,0.9910985567384147,0.6579378126646599,0.0,0.6579378126646599,0.6579378126646599
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.7540570743728234,0.0,0.7540570743728234,0.7540570743728234,0.14680310920679698,0.0,0.14680310920679698,0.14680310920679698,0.33735612246393504,0.0,0.33735612246393504,0.33735612246393504,0.6282328997958532,0.0,0.6282328997958532,0.6282328997958532,0.6137142632722169,0.0,0.6137142632722169,0.6137142632722169,0.9899438632505188,1.2412670766236366e-16,0.9899438632505189,0.9899438632505189,0.6552611120411809,0.0,0.6552611120411809,0.6552611120411809
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.718885144010437,0.0,0.718885144010437,0.718885144010437,0.20218264728648672,0.0,0.20218264728648672,0.20218264728648672,0.3392056195416861,0.0,0.3392056195416861,0.3392056195416861,0.6259601245952703,0.0,0.6259601245952703,0.6259601245952703,0.6066238014569424,0.0,0.6066238014569424,0.6066238014569424,0.9891598202500058,0.0,0.9891598202500058,0.9891598202500058,0.653614886834465,0.0,0.653614886834465,0.653614886834465
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.7285326125545394,0.0,0.7285326125545394,0.7285326125545394,0.1080899019775983,0.0,0.1080899019775983,0.1080899019775983,0.33680791764347673,0.0,0.33680791764347673,0.33680791764347673,0.6281717497277831,0.0,0.6281717497277831,0.6281717497277831,0.6106086880612648,0.0,0.6106086880612648,0.6106086880612648,0.9894383349572993,0.0,0.9894383349572993,0.9894383349572993,0.6549245755403686,0.0,0.6549245755403686,0.6549245755403686
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.39466286880590307,0.0,0.39466286880590307,0.39466286880590307,0.1080899019775983,0.0,0.1080899019775983,0.1080899019775983,0.33680792630926726,0.0,0.33680792630926726,0.33680792630926726,0.6281545927755897,0.0,0.6281545927755897,0.6281545927755897,0.6105213844767177,0.0,0.6105213844767177,0.6105213844767177,0.9893656456273714,0.0,0.9893656456273714,0.9893656456273714,0.6546872009839856,0.0,0.6546872009839856,0.6546872009839856
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.412593954265777,0.0,0.412593954265777,0.412593954265777,0.10745871444407748,0.0,0.10745871444407748,0.10745871444407748,0.3345475710447563,0.0,0.3345475710447563,0.3345475710447563,0.628734003377125,0.0,0.628734003377125,0.628734003377125,0.6115546421165103,0.0,0.6115546421165103,0.6115546421165103,0.9896545681872212,0.0,0.9896545681872212,0.9896545681872212,0.6555359742701593,0.0,0.6555359742701593,0.6555359742701593
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.4121766998701242,0.0,0.4121766998701242,0.4121766998701242,0.10745871444407748,0.0,0.10745871444407748,0.10745871444407748,0.3345475902818442,0.0,0.3345475902818442,0.3345475902818442,0.6270408034419563,0.0,0.6270408034419563,0.6270408034419563,0.5990351261669696,0.0,0.5990351261669696,0.5990351261669696,0.982709518768629,1.2412670766236366e-16,0.9827095187686289,0.9827095187686289,0.6439210618640073,0.0,0.6439210618640073,0.6439210618640073
47.0,0.0,47.0,47.0,1.0,0.0,1.0,1.0,47.0,0.0,47.0,47.0,109.0,0.0,109.0,109.0,0.012687872339159417,1.939479807224432e-18,0.012687872339159419,0.012687872339159419,1.0,0.0,1.0,1.0,2.607732078912474,0.0,2.607732078912474,2.607732078912474,0.33153108809431536,0.0,0.33153108809431536,0.33153108809431536,0.25787626380252604,0.0,0.25787626380252604,0.25787626380252604,0.23270179090548884,0.0,0.23270179090548884,0.23270179090548884,0.0,0.0,0.0,0.0
46.0,0.0,46.0,46.0,1.0,0.0,1.0,1.0,47.0,0.0,47.0,47.0,109.0,0.0,109.0,109.0,0.012613156815113578,0.0,0.012613156815113578,0.012613156815113578,1.0,0.0,1.0,1.0,2.612225916784667,0.0,2.612225916784667,2.612225916784667,0.3312753130336964,0.0,0.3312753130336964,0.3312753130336964,0.25780935969022295,0.0,0.25780935969022295,0.25780935969022295,0.23210572243352628,0.0,0.23210572243352628,0.23210572243352628,0.0,0.0,0.0,0.0
