Tcrit,elite_fracture_prob,time_to_elite_fracture,weeks_below_elite_crit,avg_loyal,peak_protest,end_displaced_m,mean_elite,min_elite,mean_stab,min_stab
157.0,0.0,157.0,0.0,0.02189167976691311,0.3457595143498496,0.6134002584310349,0.5974089166033429,0.593429501249925,0.9877386897217818,0.6545132387274515
74.0,1.0,89.0,67.0,0.020532882754837483,1.0,2.2445584535310776,0.43073427186550345,0.3189551192166962,0.37290028647299256,0.0
49.0,1.0,63.0,93.0,0.017347191465687715,1.0,2.721951179488249,0.3871735325607224,0.309809223784507,0.23828934407405356,0.0
157.0,0.0,157.0,0.0,0.7530372352450937,0.9248530751730515,0.9333385712143732,0.5787194540207515,0.5426058898850358,0.9707396121019787,0.6483766907824849
157.0,0.0,157.0,0.0,0.5592498255458029,1.0,3.2048169519384913,0.4970382936386122,0.40769298294998085,0.7882213111433547,0.3829492187025885
72.0,1.0,87.0,69.0,0.017345177444579758,1.0,2.091275808723547,0.43593926049225645,0.3217916746559914,0.366325666608115,0.0
47.0,1.0,65.0,41.0,0.4683475360192527,1.0,2.4491032359710854,0.44171841209462287,0.33305493528246227,0.4532217275488047,0.0
157.0,0.0,157.0,0.0,0.5197185867211641,0.6240822667857717,0.5373291079155206,0.6040281092142097,0.5795502924286022,0.986074619260602,0.6519544340215033
157.0,0.0,157.0,0.0,0.3289978929905841,0.1826410782905879,0.3460676265602548,0.6150800007362712,0.6049591676899393,0.9907615197160535,0.6591175304232166
157.0,0.0,157.0,0.0,0.022858041533085204,0.4234005984125806,0.7147205532602448,0.5906809599152268,0.5805678563514821,0.9825491471924062,0.6453746264293851
116.0,1.0,132.0,24.0,0.016811524359692354,1.0,1.845607958894985,0.4953724923777503,0.3203927110241729,0.6310627541634344,0.0
67.0,1.0,79.0,77.0,0.0174598958494142,1.0,2.0491414253089095,0.4202952198234288,0.31397496245866185,0.3545296234554704,0.0
47.0,1.0,64.0,92.0,0.017662532985990895,1.0,2.402919709068837,0.3982157527042557,0.32634289188331145,0.22585318305209484,0.0
157.0,0.0,157.0,0.0,0.020846862243545213,1.0,1.5673081419915618,0.5572534278497696,0.47413824596439436,0.9155709257488116,0.5935302483429051
77.0,1.0,94.0,62.0,0.019707998019049607,1.0,2.057944514964044,0.44808181845871875,0.32558415998930007,0.4066478659866654,0.0
157.0,0.0,157.0,0.0,0.6100502684196558,1.0,3.1323819122522885,0.5479795220263379,0.4626758323759716,0.8629265492820485,0.4943105144166623
39.0,1.0,54.0,102.0,0.020412625435417782,1.0,2.246060659957568,0.3894489136610497,0.3264413282067649,0.18114706656684562,0.0
51.0,1.0,71.0,34.0,0.4635378856409058,1.0,2.7198463809837663,0.4540044435607869,0.33037225169624324,0.5247706637842805,0.0
72.0,1.0,84.0,72.0,0.017713218249819154,1.0,2.2112564139061157,0.413174951783342,0.29882956156144963,0.3778253285602755,0.0
