Tcrit_mean,Tcrit_std,elite_fracture_prob_mean,elite_fracture_prob_std,time_to_elite_fracture_mean,time_to_elite_fracture_std,weeks_below_elite_crit_mean,weeks_below_elite_crit_std,avg_loyal_mean,avg_loyal_std,peak_protest_mean,peak_protest_std,end_displaced_m_mean,end_displaced_m_std,mean_elite_mean,mean_elite_std,min_elite_mean,min_elite_std,mean_stab_mean,mean_stab_std,min_stab_mean,min_stab_std
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.6509025276154,0.0,0.253931732146399,0.0,0.36462016021373234,0.0,0.5711809857569933,0.0,0.4569586567596299,6.206335383118183e-17,0.82341333993653,0.0,0.42878480168296784,0.0
46.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.5549137745369628,0.0,0.32095734844164875,0.0,0.38071268311891654,0.0,0.5395480293267978,0.0,0.41330816799734454,6.206335383118183e-17,0.7200496420677385,0.0,0.2691976132469567,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.6510928466370214,0.0,0.25377626726535796,0.0,0.3645979589132702,0.0,0.5712382891953898,0.0,0.4570475422303579,0.0,0.8235997678020885,0.0,0.42908682028604234,6.206335383118183e-17
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.6389220331972739,0.0,0.25998370194892995,0.0,0.38050825380443953,0.0,0.565597712159423,0.0,0.4515387618279717,6.206335383118183e-17,0.8111182851004626,0.0,0.4102162043193397,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.6462206813352478,0.0,0.2563761391478188,0.0,0.3710516590204094,0.0,0.568870296048471,0.0,0.4546547322532885,0.0,0.8182728085555224,0.0,0.42075802332421314,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.64704397697302,0.0,0.2559395866142963,0.0,0.3699756083246383,0.0,0.5693630306477794,0.0,0.4551885798757162,0.0,0.8195251225367819,0.0,0.42256863636187186,6.206335383118183e-17
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.6509669230371921,0.0,0.25366882063424345,0.0,0.3644994674291265,0.0,0.5713021881577518,0.0,0.45698699744794125,0.0,0.8236888013776831,0.0,0.42886955772910673,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.6713781750449916,0.0,0.1366848036186267,0.0,0.35534872274100915,0.0,0.5942638412669513,0.0,0.5061163949858993,0.0,0.8924960584976004,0.0,0.6130820470895032,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.6703409138386283,0.0,0.15275257729041541,0.0,0.3556112754006981,0.0,0.5928457170273246,0.0,0.5020497626123593,0.0,0.8881185869665307,0.0,0.598645834225886,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.6509496918387279,0.0,0.2538540355181606,0.0,0.364601511682148,0.0,0.5713514288436888,0.0,0.457334941124547,6.206335383118183e-17,0.8240634795362647,0.0,0.43055115776663416,0.0
