Tcrit,elite_fracture_prob,peak_protest,min_stab,mean_stab,end_displaced_m
157,0,0.241238624148007,0.666319522303926,0.990700413314854,2.46856317135004
157,0,0.182209213445294,0.667770265800117,0.990990266847168,1.59812206140048
157,0,0.186279891955843,0.672027679574927,0.992412913068783,2.44767838701639
126,0,0.695647492149189,0.0480738832351277,0.616722871697858,4.07184128813026
53,0,1,0,0.260862519146693,6.49727819445614
157,0,0.179722977582887,0.659114043046925,0.989442644148859,2.27766252250551
157,0,0.179071722251212,0.658340021079214,0.966765978832003,2.4410370922457
153,0,0.895928558930977,0.270418364491485,0.807802406491068,4.55158694827646
85,0,0.966542697465823,0,0.412961814397042,4.96656882430608
51,0,1,0,0.258283987195708,5.12159301318197
104,0,1,0,0.565349652041076,4.95878797284185
157,0,0.467488705054351,0.423075171716324,0.694964795720904,2.97211133011604
157,0,0.312871779791768,0.674430983180576,0.992710604817928,2.2417599014978
157,0,0.176569282908585,0.662253439959348,0.975403629540034,1.90318911606026
157,0,0.215360368129736,0.661195104202115,0.927109798049677,2.35072652193946
96,1,0.959069951811498,0,0.495256232017389,4.43572827699755
157,0,0.183236159861156,0.659374725347658,0.984983837496655,1.70308909700394
157,0,0.236867099289318,0.665632760186786,0.982274255347856,2.07341388244197
110,0,1,0,0.581852176656273,4.33526450493532
73,1,1,0,0.381485747998337,5.58755738743898
157,0,0.48711670046343,0.663061755062609,0.871411640157754,3.20867940796031
157,0,0.306625135942098,0.665475152038711,0.926810303812651,2.45459179135135
157,0,0.183405409694043,0.663600538537507,0.989465198532887,2.12382120842268
59,0,1,0,0.306720561677837,5.38341863912381
157,0,0.163003007356414,0.659884589103217,0.970077200189692,1.55720484571071
81,1,1,0,0.425026359051741,5.78492923608331
58,0,1,0,0.295429447849623,5.2361901010105
157,0,0.254152069019726,0.666646832140027,0.959761305902228,2.31550409730349
63,1,1,0,0.3319819771976,5.95785766724106
157,0,0.177544787278104,0.666573230028194,0.991558122416585,1.47227939619519
82,0,1,0,0.435581878919608,6.17888414980928
157,0,0.171877977230187,0.673063714788348,0.921745099970884,1.63080697959334
131,0,0.744966859716855,0.0444879602202727,0.644015509323486,3.82166138185791
157,0,0.175288089828416,0.657404441758446,0.972646115287907,1.8444813251119
131,0,0.692943125078789,0.0708523719917098,0.640606197991856,3.04580486039141
157,0,0.180191946902838,0.671281972803316,0.991448712407082,2.0425229042525
41,1,1,0,0.20414204951364,5.70088465533273
48,1,1,0,0.240436992121582,5.67279267474971
157,0,0.169277203498487,0.663240898299973,0.990981087488296,2.11206363412798
157,0,0.479809770556332,0.673496907001471,0.925471134045375,2.81826748458398
157,0,0.422261755203634,0.664452657070126,0.867788249387323,2.12386172607077
36,1,1,0,0.167075570108278,5.55567982384151
71,1,1,0,0.367244941887483,4.78767088455128
157,0,0.186012715238952,0.663007189292811,0.989640710368269,1.83925010837917
73,1,1,0,0.385465389348973,5.02842374053393
157,0,0.177416523622154,0.66815273127515,0.991505430212699,2.12409553247174
157,0,0.184029300530867,0.666003500719338,0.980521045751166,2.13715069066888
79,1,1,0,0.427015257291424,5.03325879777176
157,0,0.188113228723137,0.652084049464142,0.972598797815923,2.60749581807645
113,1,1,0,0.597878970979768,5.10996509184138
157,0,0.182914136733368,0.663126004016641,0.991569982124929,2.08785837029901
157,0,0.179622333556978,0.672112553989269,0.98139131211908,2.47453302754514
157,0,0.171463514320159,0.665258921008576,0.990765955338767,1.62448819595043
48,0,1,0,0.241481293220443,5.92234576129509
69,1,1,0,0.345822637635173,5.81327574044226
157,0,0.18070523391007,0.666693224959013,0.991277264367551,1.89578480234231
157,0,0.217038622151269,0.658553623340958,0.975666159043774,2.26974742939793
157,0,0.518662421160456,0.433512372914929,0.754520178940221,3.14415161118621
51,1,1,0,0.25347580862302,5.37129759210749
157,0,0.164380639847146,0.656494045006827,0.942551325468711,1.59992823513742
157,0,0.176288675535805,0.656755182563173,0.880690508863534,2.17487005078774
157,0,0.49367895441358,0.663575128827031,0.861467730302678,3.23477212448394
39,0,1,0,0.182228952414164,6.18938399578778
74,1,1,0,0.385342815042904,5.60428003060045
157,0,0.235896585088669,0.667247321215555,0.954470542852856,2.05871473177203
85,1,1,0,0.456570315769726,5.3666497709035
157,0,0.186807908767666,0.657013804015385,0.962630292767796,2.31746129778782
90,1,1,0,0.478490512251026,5.11036082511579
132,0,0.846250565879336,0,0.68185803050907,3.85912648218547
157,0,0.171754577117797,0.671411258175877,0.977467253734532,2.5461780365122
54,1,1,0,0.268527245645441,5.42744390881959
45,0,1,0,0.227834367892579,5.40411370039322
157,0,0.176514821348067,0.665483008645728,0.978716668519464,2.12431896960913
76,0,1,0,0.408581157226625,5.69247847665704
157,0,0.363348222778264,0.666267235397034,0.931934854844672,2.42209894117804
157,0,0.173999658988924,0.664967281097151,0.991320464956038,1.64938569225131
157,0,0.165122409997991,0.662234970949258,0.982581996234024,1.77936893615706
157,0,0.162738907239539,0.665506439590902,0.991196649520431,2.24523376240279
157,0,0.332120243833713,0.665137112714394,0.864075431740976,2.43295648375982
157,0,0.188062313014367,0.663457789825582,0.989904765869396,2.46387720038174
43,1,1,0,0.204673119463797,6.37030337765532
157,0,0.184329743435791,0.665398166072026,0.989946912098321,2.19006849681319
157,0,0.174040762688625,0.66495997281804,0.991162719541448,1.93126339620984
157,0,0.189416798266585,0.665285006115112,0.932467615383711,2.34564310264848
134,0,0.745145776725233,0.105965874525464,0.66946932805857,3.92313283053671
157,0,0.169090751826366,0.665599367091291,0.898223565388151,1.67443717226739
157,0,0.164924033535833,0.662229718252823,0.905414575958414,2.33578079707355
157,0,0.620278599252218,0.615284618251911,0.849939649446023,3.21298442384917
157,0,0.182305065405121,0.65195602657687,0.98435784495167,2.0555507586954
55,0,1,0,0.291628820599618,5.38860335670735
60,0,1,0,0.313354337924028,6.0824680610139
83,1,1,0,0.409734451344977,5.0727379643054
157,0,0.393371420132589,0.665489149564191,0.985399241617767,2.68976745008121
157,0,0.166305285846965,0.667566423984713,0.991826815413453,1.80029413486496
157,0,0.415004327508771,0.674711388791213,0.918709558126395,3.03659323198598
157,0,0.178609492461099,0.6684077320394,0.990948285545697,1.66342219323934
157,0,0.177592344002598,0.657167887192053,0.946371649043822,2.10983525156254
157,0,0.175410548752018,0.660462884375108,0.913757942659244,1.65160688393216
136,0,0.927146802763814,0,0.72406298753793,4.52269565419989
71,0,1,0,0.346259336877628,4.70906508679918
113,0,1,0,0.613231451589959,3.62861285114669
157,0,0.160967802736754,0.659856632802325,0.986305661635355,1.98980407997241
88,0,1,0,0.471849681585807,4.791826362406
157,0,0.345639215663056,0.668114071434647,0.9783520360265,2.77032140065731
157,0,0.191165153508913,0.656002306309044,0.96350061195172,2.02328423012872
105,0,0.902795885138443,0,0.518076597578863,3.46624431085218
157,0,0.287341432466293,0.667382722960675,0.94875964156815,2.19032257048655
142,0,0.868058740688092,0.166530367157156,0.763723740877758,4.81088463877814
41,1,1,0,0.192446381941186,6.52569535626107
157,0,0.162154332430342,0.668828033633038,0.992473644370602,1.44474741524386
157,0,0.675986797037524,0.60134872820493,0.857517014199697,3.84560714205352
49,0,1,0,0.24023118560448,6.495168939679
157,0,0.172055202766136,0.664924149733068,0.990689869874192,1.94850528164222
157,0,0.175922571524042,0.663587415033552,0.923283803393063,1.95023422060381
157,0,0.181782902836382,0.661098350267638,0.988550479094189,2.56876515172437
157,0,0.178981610071421,0.67168302420539,0.991926352959187,2.18758799595636
157,0,0.572369773508526,0.662326567309971,0.873896573331272,3.02295897739079
138,0,0.471548780241445,0.265282069776698,0.594458494542044,2.47615856738409
136,0,0.824944432490352,0.0745952798212492,0.704606198180194,4.33616603640022
67,0,1,0,0.344395318493915,5.09636871254705
