week,year,Stab,Elite,Loyal,Info,Morale,Protest,Fiscal,CPI,Infl,EStress,Repr,Troops,Displaced,War,Sanctions,OilPrice,OilRevIndex
0,0,0.66321602406979,0.635078197421715,0.718362924364103,0.722105035365823,0.516825203234832,0.189506545048568,0.39683451219409,100.703846153846,0.366,0.761695935303365,0.412125,0.214,0.0349599708993779,0.5,0.75,1.25,0.446875
1,0.0192307692307692,0.718436003225749,0.623455463684752,0.679801458789598,0.742428401515737,0.48120658519089,0.178917551032355,0.336678151447863,101.437515080702,0.378841381472473,0.787886849761114,0.412584946266235,0.228794406497448,0.0714486052692721,0.535897349643134,0.75,1.26794867482157,0.435767992438507
2,0.0384615384615385,0.76622215632092,0.614576476734715,0.634049843534914,0.760747608634064,0.443033379372544,0.168464153128858,0.269615187836636,102.202482979702,0.392146147471438,0.813404685561593,0.4100846953391,0.244217670649916,0.109373677654103,0.569708475806565,0.75,1.28485423790328,0.424852776285654
3,0.0576923076923077,0.807150811795217,0.607949407612126,0.580972211056002,0.776827848193113,0.402281828335747,0.158408843093159,0.196023597505372,102.999565036878,0.405550489232105,0.837416782545183,0.403611164590654,0.260030360481699,0.148533289722967,0.599468398736119,0.75,1.29973419936806,0.414881221630502
4,0.0769230769230769,0.841836458792453,0.603139721388449,0.520571223599917,0.79043368492868,0.359024823668728,0.149040607333285,0.116559980683561,103.828905120489,0.418697732678484,0.859307484609768,0.392232665588541,0.275938066088472,0.188624662095092,0.623447579884048,0.75,1.31172378994202,0.406598540876574
5,0.0961538461538462,0.870955788007944,0.599766172049402,0.452989680068467,0.801341816110386,0.313434375470377,0.140670404294974,0.0321247218505211,104.690002639216,0.431258240870479,0.878712946031976,0.375183455177878,0.291613064691791,0.229258377003627,0.640252436402812,0.75,1.32012621820141,0.400662019399141
6,0.115384615384615,0.896716146290345,0.597498521908021,0.382438730344409,0.811040005820311,0.265777439973188,0.133619820256635,0,105.581776589181,0.442948172978585,0.895509227083249,0.351942111225593,0.306716971742427,0.269977500587132,0.648906331114708,0.75,1.32445316555735,0.397562513964438
7,0.134615384615385,0.920267534559687,0.596153869246795,0.312087601980545,0.820406835618581,0.216949214987825,0.128009881536852,0,106.488974075039,0.446803139600647,0.900912357438453,0.324681875699194,0.320922691883746,0.310199205316238,0.648906331114708,0.75,1.32445316555735,0.397562513964438
8,0.153846153846154,0.941639152247881,0.595564071063361,0.242669188782278,0.829356169186814,0.167637949667717,0.123987379880294,0,107.400776574329,0.445245438552506,0.89977874092759,0.29495491283202,0.333934259967271,0.3493740181295,0.640252436402812,0.75,1.32012621820141,0.400662019399141
9,0.173076923076923,0.960735678535001,0.595545322514026,0.174692201346645,0.837814387172355,0.118256294810761,0.121768593114133,0,108.31413872878,0.442220564379129,0.897544437771103,0.262994496594645,0.345503553376273,0.38701643426831,0.623447579884048,0.75,1.31172378994202,0.406598540876574
10,0.192307692307692,0.977466917080452,0.595935809871112,0.108626539418599,0.845732723757428,0.069241033285601,0.121560113639721,0,109.226277735996,0.437904311772501,0.894279907976145,0.2291203936347,0.355443277321025,0.422683140381865,0.599468398736119,0.75,1.29973419936806,0.414881221630502
11,0.211538461538462,0.991766582402,0.596595088043525,0.044870528528296,0.853095468215607,0.0210165112313729,0.123540369343913,0,110.134846123884,0.432547525645182,0.89010111713411,0.193819564742731,0.363635998585765,0.456005676831764,0.569708475806565,0.75,1.28485423790328,0.424852776285654
12,0.230769230769231,1,0.597404055139581,0,0.85992594361634,0,0.127745783493704,0,111.038082166312,0.426461522935764,0.885178455225998,0.157704753690594,0.370039279088183,0.486718767490379,0.535897349643134,0.75,1.26794867482157,0.435767992438507
13,0.25,1,0.598175413942999,0,0.866285404805076,0,0.133832253416497,0,111.934928214579,0.42,0.879743137532249,0.128988891542451,0.374687118738333,0.514710383615471,0.5,0.75,1.25,0.446875
14,0.269230769230769,1,0.598702423109827,0,0.872258623844091,0,0.140833096128448,0,112.825108978889,0.413538477064236,0.874087126430999,0.120613605700652,0.377687967960811,0.540056409054141,0.464102650356866,0.75,1.23205132517843,0.457485888972603
15,0.288461538461538,1,0.599015517639511,0,0.877925377934385,0,0.148685439623172,0,113.709164167789,0.407452474354818,0.868553085089602,0.112597647823423,0.379219547509949,0.562900926129977,0.430291524193435,0.75,1.21514576209672,0.467026404148626
16,0.307692307692308,1,0.599147213103609,0,0.883397740727171,0,0.15725935028231,0,114.588432718247,0.402095688227499,0.863512594255505,0.105491057224277,0.379520663294904,0.583529050351603,0.400531601263881,0.75,1.20026580063194,0.475059602865854
17,0.326923076923077,1,0.599131551420244,0,0.888812226409796,0,0.166365157094734,0,115.464988912389,0.397779435620871,0.859333655344819,0.099793667158734,0.378880175041474,0.602349788554997,0.376552420115952,0.75,1.18827621005798,0.481284326706423
18,0.346153846153846,1,0.599003448779877,0,0.894320390934348,0,0.175766017290388,0,116.341533740478,0.394754561447494,0.856341641835864,0.0959244098838949,0.377623309623681,0.619870269258576,0.359747563597188,0.75,1.17987378179859,0.485514743422843
19,0.365384615384615,1,0.598797948594834,0,0.900078689893503,0,0.185194426417593,0,117.221247698186,0.393196860399353,0.854780305938243,0.0941970681636206,0.376095626086027,0.636663732295197,0.351093668885292,0.75,1.17554683444265,0.487650844288836
20,0.384615384615385,1,0.598549367255118,0,0.906238395122096,0,0.194371007581813,0,118.107613593705,0.393196860399353,0.854780305938243,0.0948035788560531,0.374645140690423,0.653334021738051,0.351093668885292,0.75,1.17554683444265,0.487650844288836
21,0.403846153846154,1,0.598290318246498,0,0.912936279722569,0,0.203023871231124,0,119.004219732317,0.394754561447494,0.856341641835864,0.0978051164050199,0.373603382945358,0.670479297198245,0.359747563597188,0.75,1.17987378179859,0.485514743422843
22,0.423076923076923,1,0.598050615947939,0,0.920286626364336,0,0.210906964683603,0,119.914554950809,0.397779435620871,0.859333655344819,0.103130509662356,0.373266430892994,0.68865735053773,0.376552420115951,0.75,1.18827621005798,0.481284326706423
23,0.442307692307692,1,0.597856093901687,0,0.928374930804779,0,0.217815994885394,0,120.841807364299,0.402095688227499,0.863512594255505,0.110581162823833,0.373877203682559,0.708354415679153,0.400531601263881,0.75,1.20026580063194,0.475059602865854
24,0.461538461538462,1,0.59772741680951,0,0.937253490651013,0,0.223600689632923,0,121.788678391531,0.407452474354818,0.868553085089602,0.119841559199689,0.375610405989916,0.729958815703947,0.430291524193435,0.75,1.21514576209672,0.467026404148626
25,0.480769230769231,1,0.597679008459415,0,0.946938911023194,0,0.228172449695448,0,122.757222710487,0.413538477064236,0.874087126430999,0.130494548720208,0.378561468720517,0.75374030293646,0.464102650356866,0.75,1.23205132517843,0.457485888972603
26,0.5,1,0.597718243891606,0,0.957411441311097,0,0.231506931500742,0,123.748723355456,0.42,0.879743137532249,0.142040836653479,0.382740587940888,0.779835574485198,0.5,0.75,1.25,0.446875
27,0.519230769230769,1,0.597845050361446,0,0.968615991581667,0,0.233641773545737,0,124.763609298216,0.426461522935764,0.885178455225998,0.153922276174989,0.388072541905058,0.808240209272534,0.535897349643134,0.75,1.26794867482157,0.435767992438507
28,0.538461538461538,1,0.598052023152924,0,0.980464663893831,0,0.234670378239034,0,125.801420653842,0.432547525645182,0.89010111713411,0.165548622061757,0.394402417528651,0.838807159881617,0.569708475806565,0.75,1.28485423790328,0.424852776285654
29,0.557692307692308,1,0.598325095492996,0,0.992840659386892,0,0.234733148327205,0,126.860824202523,0.437904311772501,0.894279907976145,0.176327274624535,0.401506787193504,0.871251901588622,0.599468398736119,0.75,1.29973419936806,0.414881221630502
30,0.576923076923077,1,0.598644609911419,0,1,0,0.234023398510054,0,127.939679303993,0.442220564379129,0.897544437771103,0.185695231891572,0.409109341656482,0.905164571292599,0.623447579884048,0.75,1.31172378994202,0.406598540876574
31,0.596153846153846,1,0.598986538712503,0,1,0,0.232814857013272,0,129.035151585146,0.445245438552506,0.89977874092759,0.192075730920844,0.416899592227842,0.94002195085087,0.640252436402812,0.75,1.32012621820141,0.400662019399141
32,0.615384615384615,1,0.599324407671016,0,1,0,0.231394704702599,0,130.143869101436,0.446803139600647,0.900912357438453,0.194671899334412,0.42455306154939,0.975217755500045,0.648906331114708,0.75,1.32445316555735,0.397562513964438
33,0.634615384615385,1,0.599631705873446,0,1,0,0.229995236380342,0,131.262113126711,0.446803139600647,0.900912357438453,0.194671899334412,0.431751400557144,1.01010608177241,0.648906331114708,0.75,1.32445316555735,0.397562513964438
34,0.653846153846154,1,0.599883698454204,0,1,0,0.228846062332321,0,132.386033456027,0.445245438552506,0.89977874092759,0.192075730920844,0.438201069771188,1.0440284326319,0.640252436402812,0.75,1.32012621820141,0.400662019399141
35,0.673076923076923,1,0.600058999401096,0,1,0,0.228165491237251,0,133.511876272005,0.442220564379129,0.897544437771103,0.187034273965215,0.443649544080999,1.0763535268202,0.623447579884049,0.75,1.31172378994202,0.406598540876574
36,0.692307692307692,1,0.600140812200106,0,1,0,0.228150951134161,0,134.636211393012,0.437904311772501,0.894279907976145,0.179840519620836,0.447898365800858,1.10651803070391,0.599468398736119,0.75,1.29973419936806,0.414881221630502
37,0.711538461538462,1,0.600117790709536,0,1,0,0.22896825760915,0,135.756145241094,0.432547525645182,0.89010111713411,0.17091254274197,0.450812710100252,1.13406523979592,0.569708475806565,0.75,1.28485423790328,0.424852776285654
