week,year,Stab,Elite,Loyal,Info,Morale,Protest,Fiscal,CPI,Infl,EStress,Repr,Troops,Displaced,War,Sanctions,OilPrice,OilRevIndex
0,0.0,0.6014382711209318,0.6301077734959776,0.6752608194122847,0.7276941564821585,0.49697582342142627,0.18471257018808301,0.32313854940528564,101.70192307692307,0.8849999999999999,0.9949835315714759,0.517125,0.23600000000000002,0.06281541995147014,1.0,0.7,1.5,0.26100000000000007
1,0.019230769230769232,0.596349032209303,0.6131264358449371,0.5934245661169771,0.7508701442792484,0.4409602818933816,0.17038309103997507,0.19291616631888855,103.48243485809688,0.9103722901189427,0.9968963671650025,0.4969702700400353,0.26948,0.12532464354605194,1.0,0.7,1.5,0.26100000000000007
2,0.038461538461538464,0.5857500468724888,0.5984779282780538,0.5044126865422071,0.769460270126706,0.3820651201622644,0.15720738293890155,0.05916007352862443,105.34594807086246,0.9364167667362222,0.9981055274885727,0.47114087579499214,0.3006164,0.18752770354331585,1.0,0.7,1.5,0.26100000000000007
3,0.057692307692307696,0.5721466458426817,0.5856872366330219,0.4120289216200652,0.7857485654442621,0.3203859146439948,0.14534913119996123,0.0,107.29721431244569,0.963167985294275,0.9988595505283117,0.43989418354724874,0.329573252,0.24943444617055424,1.0,0.7,1.5,0.26100000000000007
4,0.07692307692307693,0.5568370591194242,0.5744095602282671,0.3192976504746892,0.8015625306922605,0.2562529645686591,0.1348544968571808,0.0,109.30903708080405,0.9749999999999999,0.9990889488055994,0.4063797860041672,0.35650312436,0.31106939990584587,1.0,0.7,1.5,0.26100000000000007
5,0.09615384615384616,0.5397720727961073,0.564379129743105,0.2262654664147584,0.8169567105665476,0.18993241754758786,0.12570328657774074,0.0,111.35858152606913,0.9749999999999999,0.9990889488055994,0.3727801697973658,0.38154790565479996,0.37246608016933797,1.0,0.7,1.5,0.26100000000000007
6,0.11538461538461539,0.5208937935992005,0.5553647344576256,0.1329628504962632,0.8319848420296572,0.1214984652557076,0.11788379925015272,0.0,113.44655492968293,0.9749999999999999,0.9990889488055994,0.33897948545086004,0.40483955225896395,0.43365577534577826,1.0,0.7,1.5,0.26100000000000007
7,0.1346153846153846,0.5001444924735171,0.5471664507300743,0.03941428606594145,0.8467001939996632,0.05102241082858491,0.11139049963330659,0.0,115.57367783461449,0.9749999999999999,0.9990889488055994,0.304887992396705,0.4265007836008365,0.4946655136079922,1.0,0.7,1.5,0.26100000000000007
8,0.15384615384615385,0.48918697265598304,0.5374542774850414,0.0,0.8523938848032434,0.0,0.11881298237243264,0.0,117.35173441668547,0.7999999999999999,0.995033198349943,0.14343910521189543,0.42804324050279047,0.5235887259979719,0.5,0.7,1.25,0.47125000000000006
9,0.17307692307692307,0.47738497768362287,0.5285693849864551,0.0,0.8583908119721719,0.0,0.12679729579129692,0.0,119.1571457154037,0.7999999999999999,0.995033198349943,0.12785908272048652,0.429500862275137,0.5521674371878915,0.5,0.7,1.25,0.47125000000000006
10,0.19230769230769232,0.46479265386756374,0.5203943151584202,0.0,0.8647149579124138,0.0,0.13458857957551004,0.0,120.99033257256374,0.7999999999999999,0.995033198349943,0.12875862179582578,0.43087831485000444,0.5804698722799251,0.5,0.7,1.25,0.47125000000000006
11,0.21153846153846154,0.45147382962109905,0.5128268246520166,0.0,0.8713568300954878,0.0,0.14219080435590586,0.0,122.85172230444934,0.7999999999999999,0.995033198349943,0.12970724368686207,0.4321800075332542,0.6085045136692021,0.5,0.7,1.25,0.47125000000000006
