Tcrit,elite_fracture_prob,time_to_elite_fracture,weeks_below_elite_crit,avg_loyal,peak_protest,end_displaced_m,mean_elite,min_elite,mean_stab,min_stab
42.0,1.0,65.0,91.0,0.01999690361811415,0.5835590560088129,0.9652883208207946,0.37345181904794134,0.3142099990458946,0.14662323128151855,0.0
16.0,1.0,30.0,126.0,0.018843677388063283,1.0,2.6058435008409937,0.32893831880149105,0.28918733047198,0.058743037349638705,0.0
15.0,1.0,25.0,131.0,0.016066184678760715,1.0,3.021992517287514,0.3139160843760773,0.27623622521129404,0.055740653911643734,0.0
15.0,1.0,26.0,130.0,0.2982660781522246,1.0,3.1199724518883043,0.3258430704519016,0.2943368684680196,0.05258457177891718,0.0
20.0,1.0,27.0,129.0,0.021219311797986966,1.0,2.5874234016814976,0.3200890785484267,0.27830919787921554,0.07064738987840723,0.0
19.0,1.0,34.0,122.0,0.016022255783671082,1.0,2.5462860296890004,0.3359478082114738,0.29114321670564686,0.06692335760042432,0.0
11.0,1.0,23.0,133.0,0.07657996788351773,1.0,2.2495473996834985,0.3301539680548234,0.29626235954654867,0.04298336829723976,0.0
31.0,1.0,47.0,109.0,0.0727450217514232,1.0,2.150324310770065,0.353185177298444,0.2997342570958059,0.10234526640561944,0.0
73.0,0.0,157.0,0.0,0.0184673065222065,0.3049318102841351,0.662442484338634,0.4262015499114886,0.36135433316750876,0.3275632986291747,0.12679198119607388
57.0,1.0,86.0,70.0,0.02114053345580203,0.5459505715672558,0.9258135812621703,0.3906437333220569,0.3152258691351478,0.20805347942292668,0.0
33.0,1.0,48.0,108.0,0.015591830922637504,1.0,2.2351488740591035,0.345437545681459,0.2906666268131386,0.10876098050926092,0.0
22.0,1.0,33.0,123.0,0.016166840930617796,1.0,2.307000877188634,0.3280155079648069,0.28349038537332816,0.08129243342120086,0.0
12.0,1.0,24.0,132.0,0.016406028456957752,1.0,2.6727438360808846,0.32798114370316983,0.2974967465366822,0.0461570887389966,0.0
35.0,1.0,51.0,105.0,0.01912783919942928,1.0,2.257990375330229,0.3511246692180003,0.2851124756935094,0.126209749848366,0.0
23.0,1.0,38.0,118.0,0.018294284420463575,1.0,2.32477259384046,0.34479072935203325,0.29749081008637357,0.0816778804043466,0.0
13.0,1.0,27.0,129.0,0.2735302952402639,1.0,2.6476605029760694,0.3426229045657914,0.3051492121061383,0.04941292188335625,0.0
10.0,1.0,25.0,131.0,0.018946093227890298,1.0,2.4995791337288575,0.330089060505069,0.3000017912213099,0.03893150824314178,0.0
14.0,1.0,27.0,129.0,0.09309856997215575,1.0,2.5404594302898076,0.3297035291052865,0.28828305368138546,0.05083819599007226,0.0
21.0,1.0,32.0,124.0,0.01641343210906206,1.0,2.513084277702408,0.3104609168566928,0.2629344712671617,0.07002303711789683,0.0
33.0,0.0,157.0,0.0,0.5948929434187189,0.3051367688657022,0.34509234877303835,0.5087359838933436,0.37049813305867757,0.6501284652148066,0.1425739565077514
45.0,1.0,74.0,82.0,0.015093257200056387,0.41323400763130647,0.7479670584079476,0.37843723028730747,0.31692037044430726,0.16450700089549977,0.0
30.0,1.0,52.0,104.0,0.022461800205534063,0.4851862415854484,1.1157995894274724,0.3597714490570277,0.310103378935935,0.10404078167053339,0.0
27.0,1.0,39.0,117.0,0.020618546945245255,1.0,2.6965298215140434,0.3274824105465837,0.2743575299886049,0.09186379585945195,0.0
11.0,1.0,31.0,125.0,0.021847112355112067,1.0,2.564775434442242,0.32322424312627235,0.2812542298236878,0.05409468953872713,0.0
12.0,1.0,27.0,129.0,0.016687115884208657,1.0,2.9517408063518866,0.31652663383413815,0.2755353807834249,0.046997409776809475,0.0
7.0,1.0,29.0,127.0,0.017461321543298734,1.0,2.206923936337799,0.3237810425229916,0.27980182409539534,0.04023762100108268,0.0
