Tcrit_mean,Tcrit_std,Tcrit_min,Tcrit_max,elite_fracture_prob_mean,elite_fracture_prob_std,elite_fracture_prob_min,elite_fracture_prob_max,time_to_elite_fracture_mean,time_to_elite_fracture_std,time_to_elite_fracture_min,time_to_elite_fracture_max,weeks_below_elite_crit_mean,weeks_below_elite_crit_std,weeks_below_elite_crit_min,weeks_below_elite_crit_max,avg_loyal_mean,avg_loyal_std,avg_loyal_min,avg_loyal_max,peak_protest_mean,peak_protest_std,peak_protest_min,peak_protest_max,end_displaced_m_mean,end_displaced_m_std,end_displaced_m_min,end_displaced_m_max,mean_elite_mean,mean_elite_std,mean_elite_min,mean_elite_max,min_elite_mean,min_elite_std,min_elite_min,min_elite_max,mean_stab_mean,mean_stab_std,mean_stab_min,mean_stab_max,min_stab_mean,min_stab_std,min_stab_min,min_stab_max
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.5747513013780081,0.0,0.5747513013780081,0.5747513013780081,0.8684752408003897,1.2412670766236366e-16,0.8684752408003896,0.8684752408003896,0.5594819221072939,0.0,0.5594819221072939,0.5594819221072939,0.5716031655536354,0.0,0.5716031655536354,0.5716031655536354,0.47375340407095284,6.206335383118183e-17,0.4737534040709528,0.4737534040709528,0.8879252448366598,0.0,0.8879252448366598,0.8879252448366598,0.5740437899549721,0.0,0.5740437899549721,0.5740437899549721
65.0,0.0,65.0,65.0,1.0,0.0,1.0,1.0,78.0,0.0,78.0,78.0,78.0,0.0,78.0,78.0,0.19154676619527566,0.0,0.19154676619527566,0.19154676619527566,1.0,0.0,1.0,1.0,2.0898466401207503,0.0,2.0898466401207503,2.0898466401207503,0.4242500746866448,6.206335383118183e-17,0.4242500746866447,0.4242500746866447,0.32515121720390294,0.0,0.32515121720390294,0.32515121720390294,0.33782466670415673,0.0,0.33782466670415673,0.33782466670415673,0.0,0.0,0.0,0.0
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.5753006940872839,0.0,0.5753006940872839,0.5753006940872839,0.8672696644489408,0.0,0.8672696644489408,0.8672696644489408,0.557613747786354,0.0,0.557613747786354,0.557613747786354,0.5718702049279168,0.0,0.5718702049279168,0.5718702049279168,0.47428805452392525,6.206335383118183e-17,0.4742880545239252,0.4742880545239252,0.8886384538290365,1.2412670766236366e-16,0.8886384538290364,0.8886384538290364,0.5761239499429794,0.0,0.5761239499429794,0.5761239499429794
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.5701955612161547,0.0,0.5701955612161547,0.5701955612161547,0.8859619532679531,0.0,0.8859619532679531,0.8859619532679531,0.5968495322486711,0.0,0.5968495322486711,0.5968495322486711,0.5671253963483278,0.0,0.5671253963483278,0.5671253963483278,0.46600932906602155,0.0,0.46600932906602155,0.46600932906602155,0.877572744918924,1.2412670766236366e-16,0.8775727449189241,0.8775727449189241,0.5450557183543467,0.0,0.5450557183543467,0.5450557183543467
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.5723067341281332,0.0,0.5723067341281332,0.5723067341281332,0.8784663089046753,1.2412670766236366e-16,0.8784663089046751,0.8784663089046751,0.5776541297700846,0.0,0.5776541297700846,0.5776541297700846,0.569084080786275,0.0,0.569084080786275,0.569084080786275,0.4694116712681751,0.0,0.4694116712681751,0.4694116712681751,0.8817151558852437,1.2412670766236366e-16,0.8817151558852436,0.8817151558852436,0.5574900501812818,0.0,0.5574900501812818,0.5574900501812818
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.5732205219217946,0.0,0.5732205219217946,0.5732205219217946,0.8742326292729488,0.0,0.8742326292729488,0.8742326292729488,0.571234541947699,0.0,0.571234541947699,0.571234541947699,0.5701890191769234,0.0,0.5701890191769234,0.5701890191769234,0.4712719286038783,0.0,0.4712719286038783,0.4712719286038783,0.8847462290963506,0.0,0.8847462290963506,0.8847462290963506,0.5647763540682096,0.0,0.5647763540682096,0.5647763540682096
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.5750238141726411,0.0,0.5750238141726411,0.5750238141726411,0.8650803715233965,0.0,0.8650803715233965,0.8650803715233965,0.5485531034446116,0.0,0.5485531034446116,0.5485531034446116,0.5724295368100661,0.0,0.5724295368100661,0.5724295368100661,0.47453013644971864,0.0,0.47453013644971864,0.47453013644971864,0.8890577767709212,0.0,0.8890577767709212,0.8890577767709212,0.5768312578187633,0.0,0.5768312578187633,0.5768312578187633
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.6799806634351153,0.0,0.6799806634351153,0.6799806634351153,0.15086955135711377,0.0,0.15086955135711377,0.15086955135711377,0.3393713991853032,0.0,0.3393713991853032,0.3393713991853032,0.627268332036061,0.0,0.627268332036061,0.627268332036061,0.5955982206825893,0.0,0.5955982206825893,0.5955982206825893,0.9911002834100918,0.0,0.9911002834100918,0.9911002834100918,0.664225706892029,0.0,0.664225706892029,0.664225706892029
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.6460856097017663,0.0,0.6460856097017663,0.6460856097017663,0.27669568470833056,0.0,0.27669568470833056,0.27669568470833056,0.34912709636857514,0.0,0.34912709636857514,0.34912709636857514,0.6208784846473989,0.0,0.6208784846473989,0.6208784846473989,0.5929453099892089,0.0,0.5929453099892089,0.5929453099892089,0.9884441448020993,0.0,0.9884441448020993,0.9884441448020993,0.6634527512706415,0.0,0.6634527512706415,0.6634527512706415
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.574917806421144,0.0,0.574917806421144,0.574917806421144,0.8671078074606975,1.2412670766236366e-16,0.8671078074606974,0.8671078074606974,0.55677845019516,0.0,0.55677845019516,0.55677845019516,0.572319431198057,0.0,0.572319431198057,0.572319431198057,0.47556750957943733,0.0,0.47556750957943733,0.47556750957943733,0.8903921992714446,0.0,0.8903921992714446,0.8903921992714446,0.5818785340382673,0.0,0.5818785340382673,0.5818785340382673
